B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_003E,B19013_001E,B25064_001E,B05002_013E,B25002_001E,B25002_003E,B25003_002E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,med_income,med_rent,foreign_born_share,vacancy_rate,homeownership_rate,walk_to_work_share
695,383,159,126,562,231,57,12,7,394,175,55735.0,1104.0,,427,33,219,341,0,Block Group 6; Census Tract 2505; Cook County; Illinois,17,031,250500,6,25,Austin,170312505006,0.5510791366906475,0.22877697841726619,0.18129496402877698,307,0.5462633451957295,0.44416243654822335,55735.0,1104.0,,0.07728337236533958,0.5558375634517766,0.0
1009,431,108,567,696,112,140,0,64,377,77,149728.0,871.0,,463,86,300,521,0,Block Group 7; Census Tract 2505; Cook County; Illinois,17,031,250500,7,25,Austin,170312505007,0.4271555996035679,0.10703666997026759,0.5619425173439049,316,0.4540229885057471,0.20424403183023873,149728.0,871.0,,0.1857451403887689,0.7957559681697612,0.0
1078,405,259,749,713,17,51,1,9,415,270,43523.0,967.0,,550,135,145,447,0,Block Group 1; Census Tract 5301; Cook County; Illinois,17,031,530100,1,53,West Pullman,170315301001,0.37569573283859,0.24025974025974026,0.6948051948051948,78,0.1093969144460028,0.6506024096385542,43523.0,967.0,,0.24545454545454545,0.3493975903614458,0.0
837,79,560,201,553,89,29,20,0,406,286,28538.0,945.0,,477,71,120,305,0,Block Group 2; Census Tract 5301; Cook County; Illinois,17,031,530100,2,53,West Pullman,170315301002,0.09438470728793309,0.6690561529271206,0.24014336917562723,138,0.24954792043399637,0.7044334975369458,28538.0,945.0,,0.1488469601677149,0.2955665024630542,0.0
523,0,276,247,453,39,0,0,0,199,65,,807.0,,270,71,134,47,0,Block Group 1; Census Tract 5302; Cook County; Illinois,17,031,530200,1,53,West Pullman,170315302001,0.0,0.5277246653919694,0.4722753346080306,39,0.08609271523178808,0.32663316582914576,,807.0,,0.26296296296296295,0.6733668341708543,0.0
323,0,323,0,323,0,0,59,0,110,78,77821.0,2000.0,,195,85,32,120,0,Block Group 2; Census Tract 5302; Cook County; Illinois,17,031,530200,2,53,West Pullman,170315302002,0.0,1.0,0.0,59,0.1826625386996904,0.7090909090909091,77821.0,2000.0,,0.4358974358974359,0.2909090909090909,0.0
107,13,94,0,88,6,0,0,0,55,9,79519.0,,,152,97,46,65,0,Block Group 3; Census Tract 5302; Cook County; Illinois,17,031,530200,3,53,West Pullman,170315302003,0.12149532710280374,0.8785046728971962,0.0,6,0.06818181818181818,0.16363636363636364,79519.0,,,0.6381578947368421,0.8363636363636363,0.0
1566,144,1296,89,1180,234,74,0,0,574,198,,991.0,,692,118,376,390,31,Block Group 4; Census Tract 5302; Cook County; Illinois,17,031,530200,4,53,West Pullman,170315302004,0.09195402298850575,0.8275862068965517,0.05683269476372925,308,0.26101694915254237,0.34494773519163763,,991.0,,0.17052023121387283,0.6550522648083623,0.07948717948717948
1839,0,1588,251,994,80,0,0,0,516,349,35179.0,1440.0,,692,176,167,578,0,Block Group 5; Census Tract 5302; Cook County; Illinois,17,031,530200,5,53,West Pullman,170315302005,0.0,0.8635127786840674,0.13648722131593258,80,0.08048289738430583,0.6763565891472868,35179.0,1440.0,,0.2543352601156069,0.3236434108527132,0.0
670,20,650,0,513,26,52,0,6,343,275,,887.0,,398,55,68,266,0,Block Group 1; Census Tract 5303; Cook County; Illinois,17,031,530300,1,53,West Pullman,170315303001,0.029850746268656716,0.9701492537313433,0.0,84,0.16374269005847952,0.8017492711370262,,887.0,,0.13819095477386933,0.19825072886297376,0.0
515,0,515,0,481,50,99,0,0,293,93,70377.0,,,352,59,200,267,56,Block Group 2; Census Tract 5303; Cook County; Illinois,17,031,530300,2,53,West Pullman,170315303002,0.0,1.0,0.0,149,0.3097713097713098,0.3174061433447099,70377.0,,,0.16761363636363635,0.6825938566552902,0.20973782771535582
887,0,794,0,623,6,65,0,6,406,145,29839.0,,,414,8,261,381,0,Block Group 3; Census Tract 5303; Cook County; Illinois,17,031,530300,3,53,West Pullman,170315303003,0.0,0.895152198421646,0.0,77,0.12359550561797752,0.35714285714285715,29839.0,,,0.01932367149758454,0.6428571428571429,0.0
1412,0,1377,0,839,175,9,0,0,486,110,54139.0,1669.0,,548,62,376,483,0,Block Group 4; Census Tract 5303; Cook County; Illinois,17,031,530300,4,53,West Pullman,170315303004,0.0,0.9752124645892352,0.0,184,0.21930870083432658,0.22633744855967078,54139.0,1669.0,,0.11313868613138686,0.7736625514403292,0.0
2206,1329,56,1774,1381,146,50,0,12,544,154,58033.0,1266.0,,565,21,390,1044,0,Block Group 1; Census Tract 6201; Cook County; Illinois,17,031,620100,1,62,West Elsdon,170316201001,0.6024478694469628,0.025385312783318223,0.8041704442429737,208,0.15061549601737872,0.28308823529411764,58033.0,1266.0,,0.03716814159292035,0.7169117647058824,0.0
1937,639,0,1617,1207,115,96,0,0,422,0,99000.0,,,422,0,422,951,10,Block Group 2; Census Tract 6201; Cook County; Illinois,17,031,620100,2,62,West Elsdon,170316201002,0.329891584925142,0.0,0.8347960764068146,211,0.1748135874067937,0.0,99000.0,,,0.0,1.0,0.010515247108307046
655,201,0,585,428,11,4,0,0,249,60,,1160.0,,249,0,189,235,0,Block Group 3; Census Tract 6201; Cook County; Illinois,17,031,620100,3,62,West Elsdon,170316201003,0.3068702290076336,0.0,0.8931297709923665,15,0.035046728971962614,0.24096385542168675,,1160.0,,0.0,0.7590361445783133,0.0
793,633,0,391,566,123,26,9,0,287,56,67440.0,876.0,,312,25,231,310,0,Block Group 1; Census Tract 6202; Cook County; Illinois,17,031,620200,1,62,West Elsdon,170316202001,0.798234552332913,0.0,0.4930643127364439,158,0.2791519434628975,0.1951219512195122,67440.0,876.0,,0.08012820512820513,0.8048780487804879,0.0
1155,495,0,881,771,70,18,0,0,473,258,49402.0,1149.0,,509,36,215,562,0,Block Group 2; Census Tract 6202; Cook County; Illinois,17,031,620200,2,62,West Elsdon,170316202002,0.42857142857142855,0.0,0.7627705627705628,88,0.11413748378728923,0.5454545454545454,49402.0,1149.0,,0.07072691552062868,0.45454545454545453,0.0
1323,735,0,1050,839,101,18,0,0,369,107,68264.0,917.0,,369,0,262,530,55,Block Group 1; Census Tract 6203; Cook County; Illinois,17,031,620300,1,62,West Elsdon,170316203001,0.5555555555555556,0.0,0.7936507936507936,119,0.14183551847437426,0.2899728997289973,68264.0,917.0,,0.0,0.7100271002710027,0.10377358490566038
1327,542,0,1239,731,35,171,0,0,247,0,134297.0,,,247,0,247,641,42,Block Group 2; Census Tract 6203; Cook County; Illinois,17,031,620300,2,62,West Elsdon,170316203002,0.4084400904295403,0.0,0.9336850037678975,206,0.2818057455540356,0.0,134297.0,,,0.0,1.0,0.0655226209048362
1002,388,0,685,662,294,21,0,0,316,18,66042.0,,,326,10,298,481,38,Block Group 3; Census Tract 6203; Cook County; Illinois,17,031,620300,3,62,West Elsdon,170316203003,0.3872255489021956,0.0,0.6836327345309381,315,0.47583081570996977,0.056962025316455694,66042.0,,,0.03067484662576687,0.9430379746835443,0.079002079002079
978,411,0,893,619,20,19,0,0,294,0,56548.0,,,294,0,294,386,0,Block Group 4; Census Tract 6203; Cook County; Illinois,17,031,620300,4,62,West Elsdon,170316203004,0.42024539877300615,0.0,0.9130879345603272,39,0.0630048465266559,0.0,56548.0,,,0.0,1.0,0.0
795,364,0,510,675,119,158,12,0,279,101,165709.0,1052.0,,301,22,178,472,58,Block Group 5; Census Tract 6203; Cook County; Illinois,17,031,620300,5,62,West Elsdon,170316203005,0.4578616352201258,0.0,0.6415094339622641,289,0.42814814814814817,0.36200716845878134,165709.0,1052.0,,0.07308970099667775,0.6379928315412187,0.1228813559322034
1655,757,37,1364,1164,35,55,48,0,768,415,47696.0,968.0,,802,34,353,623,0,Block Group 6; Census Tract 6203; Cook County; Illinois,17,031,620300,6,62,West Elsdon,170316203006,0.45740181268882174,0.022356495468277945,0.8241691842900302,138,0.11855670103092783,0.5403645833333334,47696.0,968.0,,0.04239401496259352,0.4596354166666667,0.0
1070,597,0,1001,679,40,24,0,0,286,118,53816.0,,,316,30,168,435,0,Block Group 1; Census Tract 6204; Cook County; Illinois,17,031,620400,1,62,West Elsdon,170316204001,0.5579439252336449,0.0,0.9355140186915888,64,0.09425625920471281,0.4125874125874126,53816.0,,,0.0949367088607595,0.5874125874125874,0.0
1485,281,33,1360,937,80,0,0,0,403,111,53705.0,957.0,,403,0,292,589,0,Block Group 2; Census Tract 6204; Cook County; Illinois,17,031,620400,2,62,West Elsdon,170316204002,0.1892255892255892,0.022222222222222223,0.9158249158249159,80,0.08537886872998933,0.27543424317617865,53705.0,957.0,,0.0,0.7245657568238213,0.0
926,224,0,627,754,67,11,0,25,315,16,79492.0,,,331,16,299,429,0,Block Group 3; Census Tract 6204; Cook County; Illinois,17,031,620400,3,62,West Elsdon,170316204003,0.24190064794816415,0.0,0.6771058315334774,103,0.13660477453580902,0.050793650793650794,79492.0,,,0.04833836858006042,0.9492063492063492,0.0
1059,273,3,940,501,56,5,0,0,294,122,28914.0,,,335,41,172,344,0,Block Group 4; Census Tract 6204; Cook County; Illinois,17,031,620400,4,62,West Elsdon,170316204004,0.2577903682719547,0.0028328611898017,0.8876298394711992,61,0.1217564870259481,0.41496598639455784,28914.0,,,0.12238805970149254,0.5850340136054422,0.0
